period,desi_index,digital_industrialization,industrial_digitization,sample_regions,version,is_test_data,note
2021-08,100.1,108.2,100,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-09,100.3,108.5,99.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-10,100.6,108.6,99.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-11,100.9,108.7,99.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2021-12,101.3,108.6,99.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-01,101.8,108.5,98.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-02,102.2,108.3,98.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-03,102.6,108,98.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-04,103,107.7,98.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-05,103.3,107.3,98.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-06,103.6,106.9,97.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-07,103.8,106.6,97.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-08,104,106.2,97.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-09,104.1,105.9,97.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-10,104.1,105.6,97.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-11,104.2,105.4,97.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2022-12,104.2,105.2,97.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-01,104.2,105.2,97.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-02,104.3,105.3,97.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-03,104.3,105.4,97.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-04,104.4,105.6,97.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-05,104.4,106,98,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-06,104.4,106.4,98.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-07,104.4,106.8,98.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-08,104.3,107.4,98.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-09,104.2,107.9,98.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-10,104.1,108.5,98.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-11,103.9,109.1,99.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2023-12,103.6,109.6,99.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-01,103.3,110.1,99.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-02,102.9,110.5,99.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-03,102.5,110.9,99.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-04,102.2,111.2,100,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-05,101.9,111.4,100.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-06,101.6,111.5,100.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-07,101.4,111.5,100.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-08,101.3,111.4,100.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-09,101.3,111.2,100.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-10,101.5,111,100.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-11,101.7,110.7,100.2,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2024-12,102,110.3,100.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-01,102.4,109.9,99.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-02,102.8,109.5,99.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-03,103.2,109.2,99.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-04,103.7,108.8,99.5,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-05,104.1,108.5,99.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-06,104.4,108.3,99,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-07,104.7,108.1,98.8,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-08,105,108,98.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-09,105.2,108,98.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-10,105.3,108.2,98.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-11,105.4,108.4,97.9,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2025-12,105.5,108.6,97.7,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2026-01,105.5,109,97.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2026-02,105.5,109.5,97.4,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2026-03,105.6,110,97.3,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2026-04,105.6,110.5,97.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2026-05,105.6,111.1,97.1,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2026-06,104.2,112.5,98.6,31,3.2-demo,true,Fictional test data for website display and deployment testing only
2026-07,105.7,112.2,97,31,3.2-demo,true,Fictional test data for website display and deployment testing only
